GD2017_2_strous_2	Tupanvirus_soda_lake_1105	57.895	95	39	1	28	121	1	95	3.08e-34	110
GD2017_2_strous_3	Tupanvirus_soda_lake_1109	75.127	197	47	2	1	196	11	206	1.12e-110	310
GD2017_2_strous_4	Tupanvirus_soda_lake_1125	75.272	368	91	0	16	383	1	368	0.0	585
GD2017_2_strous_5	Tupanvirus_soda_lake_1126	83.577	274	45	0	1	274	1	274	1.84e-165	455
GD2017_2_strous_6	Tupanvirus_soda_lake_1127	64.458	332	103	4	1	322	40	366	5.73e-137	395
GD2017_2_strous_7	Tupanvirus_soda_lake_1128	77.872	470	104	0	3	472	132	601	0.0	783
GD2017_2_strous_8	Tupanvirus_soda_lake_1128	71.528	144	39	1	1	142	1	144	2.85e-69	215
GD2017_2_strous_9	Tupanvirus_soda_lake_1129	79.104	134	28	0	2	135	1	134	4.03e-82	233
GD2017_2_strous_10	Tupanvirus_soda_lake_102	36.937	111	66	3	6	115	5	112	1.04e-12	58.2
GD2017_2_strous_11	Tupanvirus_soda_lake_1130	72.727	154	41	1	1	154	1	153	1.51e-67	198
GD2017_2_strous_14	Tupanvirus_soda_lake_1083	27.749	191	86	5	174	316	460	646	3.45e-15	71.6
GD2017_2_strous_16	Tupanvirus_soda_lake_1131	80.615	325	61	2	12	336	1	323	0.0	555
GD2017_2_strous_16	Tupanvirus_soda_lake_122	40.984	305	151	9	43	335	148	435	5.77e-62	199
GD2017_2_strous_17	Tupanvirus_soda_lake_1132	48.858	219	111	1	1	219	1	218	2.90e-70	210
GD2017_2_strous_18	Tupanvirus_soda_lake_1133	72.385	239	65	1	1	238	1	239	1.02e-123	347
GD2017_2_strous_18	Tupanvirus_soda_lake_303	30.151	199	106	8	58	238	13	196	7.83e-18	75.1
GD2017_2_strous_19	Tupanvirus_soda_lake_1134	76.027	146	35	0	1	146	1	146	5.10e-80	229
GD2017_2_strous_21	Tupanvirus_soda_lake_1135	89.286	196	21	0	1	196	1	196	3.81e-134	369
GD2017_2_strous_22	Tupanvirus_soda_lake_1136	54.011	187	86	0	34	220	3	189	3.29e-70	208
GD2017_2_strous_23	Tupanvirus_soda_lake_1115	59.481	385	125	5	1	371	1	368	3.61e-158	445
GD2017_2_strous_23	Tupanvirus_soda_lake_329	40.000	130	77	1	230	359	451	579	7.37e-27	107
GD2017_2_strous_23	Tupanvirus_soda_lake_792	32.867	143	93	2	221	363	19	158	7.17e-16	70.5
GD2017_2_strous_24	Tupanvirus_soda_lake_1137	75.294	85	21	0	1	85	1	85	8.52e-32	103
GD2017_2_strous_25	Tupanvirus_soda_lake_1138	70.588	170	50	0	1	170	1	170	3.69e-86	246
GD2017_2_strous_26	Tupanvirus_soda_lake_1139	76.159	302	65	1	1	295	1	302	8.16e-161	446
GD2017_2_strous_27	Tupanvirus_soda_lake_1140	73.611	72	19	0	1	72	4	75	1.86e-38	118
